company,year,event_date,date_type,source
Dabur,FY2022-23,2023-07-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol DABUR; NSE fy 2022-2023; submissionDate 05-Jul-2023; https://nsearchives.nseindia.com/corporate/null
Dabur,FY2023-24,2024-07-10,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol DABUR; NSE fy 2023-2024; submissionDate 10-Jul-2024; https://nsearchives.nseindia.com/corporate/DABURIN_10072024161145_BRSRLetter.pdf
Divi's Labs,FY2022-23,2023-08-11,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol DIVISLAB; NSE fy 2022-2023; submissionDate 11-Aug-2023; https://nsearchives.nseindia.com/corporate/DIVISLAB_11082023100628_Submission_BRSR2022_23_Divis.pdf
Divi's Labs,FY2023-24,2024-07-15,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol DIVISLAB; NSE fy 2023-2024; submissionDate 15-Jul-2024; https://nsearchives.nseindia.com/corporate/DIVISLAB_15072024170431_BRSR2023_24_DivisLab.pdf
Dr Reddy's,FY2022-23,2023-09-01,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol DRREDDY; NSE fy 2022-2023; submissionDate 01-Sep-2023; https://nsearchives.nseindia.com/corporate/DRREDDY_01092023203550_DRL_BRSR_FY2023.pdf
Dr Reddy's,FY2023-24,2024-07-12,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol DRREDDY; NSE fy 2023-2024; submissionDate 12-Jul-2024; https://nsearchives.nseindia.com/corporate/DRREDDY_12072024181914_DRLBRSRFY24.pdf
Eicher Motors,FY2022-23,2023-07-31,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol EICHERMOT; NSE fy 2022-2023; submissionDate 31-Jul-2023; https://nsearchives.nseindia.com/corporate/EICHERMOT_31072023140905_EMLIntimationBRSR202223Signed.pdf
Eicher Motors,FY2023-24,2024-07-30,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol EICHERMOT; NSE fy 2023-2024; submissionDate 30-Jul-2024; https://nsearchives.nseindia.com/corporate/EICHERMOT_30072024174835_EMLBRSR2024StockExchange30072024Signed.pdf
Emami,FY2022-23,2023-09-07,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol EMAMILTD; NSE fy 2022-2023; submissionDate 07-Sep-2023; https://nsearchives.nseindia.com/corporate/EMAMILTD_07092023123503_BRSRFY23.pdf
Emami,FY2023-24,2024-08-05,brsr_filing,NSE corporate filings - Business Sustainability Reports; symbol EMAMILTD; NSE fy 2023-2024; submissionDate 05-Aug-2024; https://nsearchives.nseindia.com/corporate/EMAMILTD_05082024192550_BRSRIntimation.pdf
