company,year,LPS_finbert,OPS,zLPS,zOPS,GDS
Tata Power,FY2022-23,0.021684,-0.074433,-0.561719,-0.187525,-0.374194
Tata Power,FY2023-24,0.027195,-0.685094,-0.486916,-1.285319,0.798403
Tata Steel,FY2022-23,0.127808,-0.634584,2.98807,-1.116173,4.104244
Tata Steel,FY2023-24,0.113548,-0.545258,2.283929,-1.040664,3.324593
Tech Mahindra,FY2022-23,0.025165,0.237668,-0.44526,0.329893,-0.775153
Tech Mahindra,FY2023-24,0.058265,0.593552,0.510044,0.951784,-0.44174
Titan,FY2022-23,0.005813,0.194727,-1.092579,0.258702,-1.351282
Titan,FY2023-24,0.012929,0.378497,-0.944706,0.575527,-1.520233
Torrent Pharma,FY2022-23,0.073234,-0.021165,1.162625,-0.099214,1.261839
Torrent Pharma,FY2023-24,0.063635,0.254297,0.682344,0.358227,0.324117
UltraTech Cement,FY2022-23,0.022617,-1.032237,-0.5305,-1.775424,1.244924
UltraTech Cement,FY2023-24,0.033985,-0.843874,-0.269057,-1.563118,1.294061
Vedanta Limited,FY2022-23,0.059292,-2.004628,0.696258,-3.387505,4.083764
Vedanta Limited,FY2023-24,0.072448,-2.036864,0.965133,-3.650358,4.615491
Vodafone Idea,FY2022-23,0.022961,0.140243,-0.518982,0.168377,-0.687359
Vodafone Idea,FY2023-24,0.038916,-0.107879,-0.11084,-0.275431,0.164591
Wipro,FY2022-23,0.063558,0.649581,0.838941,1.012784,-0.173843
Wipro,FY2023-24,0.054737,0.709769,0.396818,1.155115,-0.758297
