company,year,event_date,GDS,AR_0,CAR_m1_p1,CAR_0_p1,CAR_0_p5,CAR_m5_p5,CAR_m5_p20,log_mcap,leverage,sector
Kotak Mahindra Bank,FY2023-24,2024-07-29,-1.236564,-0.013258077789021066,-0.007212239805375702,-0.01814632006415061,0.0064177156887587974,-0.0060365158412516474,-0.009108313639935528,28.897809,0.097836,Banking
LIC,FY2022-23,2023-08-22,-2.210762,0.015713985111779367,0.003359162130454693,0.005982152547328848,0.0001132582090738795,-0.007131699922172467,-0.018582410325598993,28.848827,0.00431,Insurance
LIC,FY2023-24,2024-07-29,-2.338102,-0.015763361638318527,-0.011053844577056583,-0.006483710061017323,-0.01662630385600373,0.023616613349799455,-0.06901718171333157,29.387956,0.00431,Insurance
LTIMindtree,FY2022-23,2023-06-28,0.682107,-0.024242719381006087,0.00820822839670572,-0.015893307029087263,,,,27.9728,0.065594,IT
LTIMindtree,FY2023-24,2024-06-03,1.653331,-0.036257787605701336,-0.0017235507031242714,0.011815314676784872,0.01848280341077128,,,28.010242,0.075122,IT
LTTS,FY2022-23,2023-06-26,-0.55147,-0.005796847668734241,-0.03490871740514836,-0.004515967579964742,-0.011470222214341928,-0.010485802784072282,-0.028217303959060927,26.600448,0.055406,Infrastructure
LTTS,FY2023-24,2024-06-04,-0.539639,0.05309007097021874,0.030325305085543833,0.06455371725622402,0.08281405722537262,0.04417863251042762,0.03939915814262242,27.085969,0.077611,Infrastructure
Larsen & Toubro,FY2022-23,2023-07-17,1.196439,-0.008431726964940708,-0.007274576474257317,-0.007297563178403603,0.0401847230981083,0.032402309085480835,0.03737651455523175,28.743452,0.365217,Infra
Larsen & Toubro,FY2023-24,2024-06-11,0.612526,0.012605154947441815,0.015335789835680954,0.015074526054950101,-0.011683340889099881,-0.10499940139643238,-0.13473961290886494,29.274689,0.341987,Infra
Lupin,FY2022-23,2023-09-15,2.299167,-0.008836457338924499,-0.014620633964455471,-0.018311363756067386,-0.036955586506309805,-0.038869609427221584,4.117333356912743e-05,26.410275,0.197836,Pharma
Lupin,FY2023-24,2024-07-12,0.999829,-0.014786240194786922,-0.007805333388815901,0.00015112175153854032,-0.017481206955153344,0.0026998747841938432,0.12413775110465684,27.325503,0.121755,Pharma
Mahindra & Mahindra,FY2022-23,2023-07-03,-0.129271,0.0027345663555785925,0.029007976529083067,-0.002075358872446007,0.054823409941438986,0.08626627465944953,-0.002960631776437359,27.996273,0.448036,Auto
Mahindra & Mahindra,FY2023-24,2024-07-01,0.108236,-0.0061078937649939255,-0.020054252858250705,-0.009487978371027859,-0.03453408525027827,-0.0482919835475755,-0.06813984521749251,28.392702,0.451228,Auto
Marico,FY2022-23,2023-07-13,-1.032076,-0.007402248352408132,0.011630606664491762,-0.00016891525447153537,-0.008005500976906464,-0.010237194591214124,0.061526295497780804,27.152732,0.087532,FMCG
Marico,FY2023-24,2024-07-12,-0.876439,0.007169498577599836,0.007747574362046953,0.010315257140162135,0.03477479510178106,0.092083492984796,0.05520235652078131,27.189,0.071149,FMCG
Maruti Suzuki,FY2022-23,2023-08-10,-1.50258,-0.003998305037907967,-0.015330806950813613,-0.004707212289796507,0.010935247331204651,-0.014751716195147991,0.0447253030689337,28.549267,0.012428,Auto
Maruti Suzuki,FY2023-24,2024-08-05,0.136721,-0.02188388099597632,-0.06582912209052094,-0.024979350817868368,-0.027123039363260548,-0.02063355140928611,-0.036682318081995326,29.007665,0.001028,Auto
Mphasis,FY2022-23,2023-06-27,-1.081928,0.007472406545275055,-0.007272414646390905,0.004906986714905532,0.0037513345557809302,-0.013349081768072844,0.1674775107127951,26.547243,0.090682,IT
Mphasis,FY2023-24,2024-07-01,-0.39893,0.009752470634162652,0.021330559042058425,0.01610954915067532,0.04711819591843809,0.04718663986682885,0.147973664690762,26.83536,0.169041,IT
Muthoot Finance,FY2022-23,2023-09-07,-0.114819,-0.005692879769687245,-0.011369731145866913,-0.005142085815403784,-0.007066474028662659,-0.03180095318767347,-0.0938042044780678,26.698091,0.692537,Financial Services
Muthoot Finance,FY2023-24,2024-09-10,-0.237537,-0.021330077835110473,-0.017094504679537388,-0.02226175369637577,-0.004268164412361558,0.018607325082376967,,27.110724,0.702207,Financial Services
NALCO,FY2022-23,2023-09-26,-0.928301,-0.0015376435898648761,-0.012933862462971093,-0.009108666054240962,0.02740181092042909,0.019270662920818464,0.02661644325327014,25.693023,0.005935,Metals & Mining
NALCO,FY2023-24,2024-09-12,-0.617685,0.006598255459379032,0.009234213549810896,0.02085438584096189,0.029506547305917938,0.035198049642491784,,26.358692,0.005011,Metals & Mining
NMDC,FY2022-23,2023-08-10,-0.48225,0.012281900021917702,0.025001427970970866,0.016581338601279166,0.03404183403863875,0.013108988182693281,0.17956502004568486,26.512948,0.07104,Metals & Mining
