company,year,event_date,GDS,AR_0,CAR_m1_p1,CAR_0_p1,CAR_0_p5,CAR_m5_p5,CAR_m5_p20,log_mcap,leverage,sector
Federal Bank,FY2023-24,2024-08-12,-0.389623,0.018480212308999974,0.04134855533574527,0.032105618963485426,0.011943942973608197,0.02340827225616093,-0.09260006792236072,26.625325,0.070188,Banking
Godrej Consumer,FY2023-24,2024-07-16,-0.306585,0.010830137172827665,0.010830191906939598,0.018839766372169352,0.020480955595853778,0.02059029354758031,-0.04128699115674842,27.878168,0.174212,FMCG
Grasim Industries,FY2022-23,2023-07-24,1.744896,0.006634145374651081,0.012706905620465293,0.01345295235490385,0.014736960604448256,0.0351735805286937,0.016615386098783613,27.703362,0.305533,Diversified
Grasim Industries,FY2023-24,2024-07-19,1.232323,-0.004158114974487318,0.0035782077726900195,0.01685412946256213,0.012629409608857549,-0.002191558433257304,-0.09190645410462814,28.070418,0.332439,Diversified
HCL Technologies,FY2022-23,2023-08-02,-0.46789,0.0029321742542376926,0.02204753001413311,0.0023916131724099725,0.005894387776975769,0.020850863915594806,0.04589965034059019,28.708807,0.051236,IT
HCL Technologies,FY2023-24,2024-07-23,-2.434661,0.015206358480067066,-0.009066315303544516,0.004377076378815955,0.019746385542200942,0.03334505716209348,0.06134742544149471,29.061313,0.057689,IT
HDFC Bank,FY2022-23,2023-07-19,-0.397285,-0.00044375090793230716,-0.004641809141236379,-0.0036764076288857282,0.0009663613447035702,0.004617579765066864,-0.04355599677975211,29.826118,0.122373,Banking
HDFC Bank,FY2023-24,2024-07-18,0.537979,-0.0024656881120219756,0.00689105986714702,0.007314526475735394,0.014267030110796948,0.0027929501237608755,0.01968948749383201,30.028875,0.18345,Banking
HDFC Life,FY2022-23,2023-09-11,-0.983921,0.006804260385978884,0.0017806137797972679,0.007043109101487602,-0.003515651212089313,-0.004432369361949302,-0.051246910656731766,27.701208,0.00383,Insurance
HDFC Life,FY2023-24,2024-09-05,-0.494219,-0.009299992480559557,-0.01817013643045045,-0.019494909481091827,-0.061570112494160154,-0.04147391061749785,,27.939945,0.003139,Insurance
Havells,FY2022-23,2023-07-21,0.728868,-0.026113211659712504,-0.045353266716018574,-0.029089034798312468,-0.011537073911993961,0.025394339008153976,0.00488438871184459,27.336055,0.019996,Consumer
Havells,FY2023-24,2024-05-31,1.015476,0.022318942391461385,-0.028380644588388453,-0.018748671985225902,-0.032255715770856355,-0.013421646655741859,-0.06841004223858713,27.579122,0.024384,Consumer
Hero MotoCorp,FY2022-23,2023-07-17,0.291631,-0.01898869950530354,0.0035824886970319183,-0.010473296426989695,-0.0024878868868290147,-0.01346612626173066,-0.04228976449150261,26.874069,0.02373,Auto
Hero MotoCorp,FY2023-24,2024-07-19,-0.491587,-0.007072348005996296,-0.02074040682220706,-0.00485875096409714,-0.018768403915996823,-0.03610375775585265,-0.11753274404564909,27.573488,0.023187,Auto
