company,year,LPS,OPS,zLPS,zOPS,GDS,ticker,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year,sector,ticker_tracker,event_date,date_type,event_study_ready,sector_clean
Dr Reddy's,FY2022-23,0.045901,0.118969,0.440079,0.133107,0.306972,DRREDDY.NS,768101022711.6,27.367187,13472000000.0,321854000000.0,0.041857,mcap=2023-03-31;bs=2023-03-31,Pharma,DRREDDY.NS,2023-09-01,brsr_filing,True,Pharma
Dr Reddy's,FY2023-24,0.035661,0.592194,0.148461,0.949407,-0.800946,DRREDDY.NS,1025465659611.77,27.656168,20020000000.0,387518000000.0,0.051662,mcap=2024-03-28;bs=2024-03-31,Pharma,DRREDDY.NS,2024-07-12,brsr_filing,True,Pharma
Eicher Motors,FY2022-23,0.013621,0.119133,-0.573543,0.133379,-0.706922,EICHERMOT.NS,806963504060.99,27.416544,2884100000.0,191976400000.0,0.015023,mcap=2023-03-31;bs=2023-03-31,Auto,EICHERMOT.NS,2023-07-31,brsr_filing,True,Auto
Eicher Motors,FY2023-24,0.030394,0.065017,-0.019384,0.027066,-0.04645,EICHERMOT.NS,1100506982028.42,27.726792,4194400000.0,231279300000.0,0.018136,mcap=2024-03-28;bs=2024-03-31,Auto,EICHERMOT.NS,2024-07-30,brsr_filing,True,Auto
Emami,FY2022-23,0.04965,0.646486,0.557812,1.007653,-0.449841,EMAMILTD.NS,158174327114.87,25.786964,905080000.0,31098520000.0,0.029104,mcap=2023-03-31;bs=2023-03-31,FMCG,EMAMILTD.NS,2023-09-07,brsr_filing,True,FMCG
Emami,FY2023-24,0.07001,0.656084,1.243142,1.061189,0.181953,EMAMILTD.NS,187411277664.18,25.956571,939559000.0,32797020000.0,0.028648,mcap=2024-03-28;bs=2024-03-31,FMCG,EMAMILTD.NS,2024-08-05,brsr_filing,True,FMCG
Escorts Kubota,FY2022-23,0.020533,0.188999,-0.356504,0.249207,-0.605712,ESCORTS.NS,245392816838.9,26.226126,573000000.0,100852300000.0,0.005682,mcap=2023-03-31;bs=2023-03-31,Auto,ESCORTS.NS,2023-06-22,brsr_filing,True,Auto
Escorts Kubota,FY2023-24,-0.005985,0.454044,-1.178785,0.707702,-1.886487,ESCORTS.NS,301175224801.31,26.430958,4484600000.0,124017200000.0,0.036161,mcap=2024-03-28;bs=2024-03-31,Auto,ESCORTS.NS,2024-06-25,brsr_filing,True,Auto
Federal Bank,FY2022-23,0.006188,0.332617,-0.806967,0.487304,-1.294271,FEDERALBNK.NS,279973417677.03,26.35796,258619785000.0,2680040566000.0,0.096498,mcap=2023-03-31;bs=2023-03-31,Banking,FEDERALBNK.NS,2023-07-29,brsr_filing,True,Banking
Federal Bank,FY2023-24,0.04723,0.286753,0.517177,0.415012,0.102165,FEDERALBNK.NS,365789853655.5,26.625325,223086197000.0,3178389465000.0,0.070188,mcap=2024-03-28;bs=2024-03-31,Banking,FEDERALBNK.NS,2024-08-10,brsr_filing,True,Banking
Godrej Consumer,FY2023-24,0.026839,0.14511,-0.132706,0.167195,-0.299901,GODREJCP.NS,1280366537784.6,27.878168,32222100000.0,184958900000.0,0.174212,mcap=2024-03-28;bs=2024-03-31,FMCG,GODREJCP.NS,2024-07-16,brsr_filing,True,FMCG
Grasim Industries,FY2022-23,0.064144,-0.495944,1.012962,-0.886329,1.899291,GRASIM.NS,1075022140731.5,27.703362,1030273700000.0,3372050300000.0,0.305533,mcap=2023-03-31;bs=2023-03-31,Diversified,GRASIM.NS,2023-07-24,brsr_filing,True,Diversified
Grasim Industries,FY2023-24,0.056382,-0.397814,0.808842,-0.782698,1.591541,GRASIM.NS,1551771039357.92,28.070418,1371439100000.0,4125390800000.0,0.332439,mcap=2024-03-28;bs=2024-03-31,Diversified,GRASIM.NS,2024-07-19,brsr_filing,True,Diversified
HCL Technologies,FY2022-23,0.049029,0.649672,0.538318,1.012935,-0.474617,HCLTECH.NS,2938167804390.75,28.708807,47860000000.0,934110000000.0,0.051236,mcap=2023-03-31;bs=2023-03-31,IT,HCLTECH.NS,2023-08-02,brsr_filing,True,IT
HCL Technologies,FY2023-24,-0.035301,0.511779,-2.113081,0.808715,-2.921796,HCLTECH.NS,4179918894741.45,29.061313,57560000000.0,997770000000.0,0.057689,mcap=2024-03-28;bs=2024-03-31,IT,HCLTECH.NS,2024-07-23,brsr_filing,True,IT
HDFC Bank,FY2022-23,0.045617,-0.09573,0.431173,-0.222833,0.654006,HDFCBANK.NS,8980875273654.68,29.826118,3151792800000.0,25755624000000.0,0.122373,mcap=2023-03-31;bs=2023-03-31,Banking,HDFCBANK.NS,2023-07-19,brsr_filing,True,Banking
HDFC Bank,FY2023-24,0.042716,-0.119132,0.373287,-0.295119,0.668406,HDFCBANK.NS,10999549707504.46,30.028875,8093552100000.0,44118573000000.0,0.18345,mcap=2024-03-28;bs=2024-03-31,Banking,HDFCBANK.NS,2024-07-18,brsr_filing,True,Banking
HDFC Life,FY2022-23,0.001303,0.160458,-0.960377,0.20189,-1.162268,HDFCLIFE.NS,1072709090192.76,27.701208,9500000000.0,2480692516000.0,0.00383,mcap=2023-03-31;bs=2023-03-31,Insurance,HDFCLIFE.NS,2023-09-11,brsr_filing,True,Insurance
HDFC Life,FY2023-24,-0.008808,0.135858,-1.268761,0.151008,-1.419769,HDFCLIFE.NS,1361958506471.45,27.939945,9500000000.0,3026869500000.0,0.003139,mcap=2024-03-28;bs=2024-03-31,Insurance,HDFCLIFE.NS,2024-09-05,brsr_filing,False,Insurance
Havells,FY2022-23,0.046469,0.079464,0.457912,0.067613,0.390299,HAVELLS.NS,744556954153.0,27.336055,2231000000.0,111574400000.0,0.019996,mcap=2023-03-31;bs=2023-03-31,Consumer,HAVELLS.NS,2023-07-21,brsr_filing,True,Consumer
Havells,FY2023-24,0.056039,-0.042783,0.797902,-0.16154,0.959442,HAVELLS.NS,949424790450.0,27.579122,3031600000.0,124326900000.0,0.024384,mcap=2024-03-28;bs=2024-03-31,Consumer,HAVELLS.NS,2024-05-31,brsr_filing,True,Consumer
Hero MotoCorp,FY2022-23,0.045709,0.008698,0.43407,-0.049705,0.483775,HEROMOTOCO.NS,469093781562.9,26.874069,5675400000.0,239170300000.0,0.02373,mcap=2023-03-31;bs=2023-03-31,Auto,HEROMOTOCO.NS,2023-07-17,brsr_filing,True,Auto
