company,ticker,year,market_cap,log_market_cap,total_debt,total_assets,leverage,source_year
Indian Oil Corporation,IOC.NS,FY2023-24,2310179307257.25,28.468346,1326275600000.0,4823620000000.0,0.274954,mcap=2024-03-28;bs=2024-03-31
Indus Towers,INDUSTOWER.NS,FY2022-23,385279269804.0,26.677234,191849000000.0,465724000000.0,0.411937,mcap=2023-03-31;bs=2023-03-31
Indus Towers,INDUSTOWER.NS,FY2023-24,784349135644.37,27.38812,205310000000.0,558676000000.0,0.367494,mcap=2024-03-28;bs=2024-03-31
IndusInd Bank,INDUSINDBK.NS,FY2022-23,828617238818.59,27.443024,490112342000.0,4578366330000.0,0.10705,mcap=2023-03-31;bs=2023-03-31
IndusInd Bank,INDUSINDBK.NS,FY2023-24,1208730883903.0,27.820592,476114113000.0,5150939711000.0,0.092432,mcap=2024-03-28;bs=2024-03-31
Infosys,INFY.NS,FY2022-23,5906554935531.68,29.407084,1010000000.0,15312000000.0,0.065961,mcap=2023-03-31;bs=2023-03-31
Infosys,INFY.NS,FY2023-24,6201853250907.78,29.455869,1002000000.0,16523000000.0,0.060643,mcap=2024-03-28;bs=2024-03-31
JSW Steel,JSWSTEEL.NS,FY2022-23,1654437593213.79,28.134482,1066050000000.0,2110780000000.0,0.50505,mcap=2023-03-31;bs=2023-03-31
JSW Steel,JSWSTEEL.NS,FY2023-24,2022784254976.26,28.335496,1056090000000.0,2281980000000.0,0.462795,mcap=2024-03-28;bs=2024-03-31
Jindal Steel,JINDALSTEL.NS,FY2022-23,557172131033.65,27.04614,130463100000.0,694418600000.0,0.187874,mcap=2023-03-31;bs=2023-03-31
Jindal Steel,JINDALSTEL.NS,FY2023-24,851211480453.83,27.469926,164721400000.0,787151800000.0,0.209263,mcap=2024-03-28;bs=2024-03-31
Kotak Mahindra Bank,KOTAKBANK.NS,FY2022-23,3442404645868.57,28.867191,523339234000.0,6204297348000.0,0.084351,mcap=2023-03-31;bs=2023-03-31
Kotak Mahindra Bank,KOTAKBANK.NS,FY2023-24,3549432824045.53,28.897809,751056062000.0,7676669590000.0,0.097836,mcap=2024-03-28;bs=2024-03-31
LIC,LICI.NS,FY2022-23,3379762367110.46,28.848827,,45784913600000.0,0.00431,mcap=2023-03-31;bs=2023-03-31+debt_current_proxy
LIC,LICI.NS,FY2023-24,5794646798190.04,29.387956,,53160474200000.0,0.00431,mcap=2024-03-28;bs=2024-03-31+debt_current_proxy
LTIMindtree,540005.BO,FY2022-23,1407448378518.0,27.9728,15412000000.0,234961000000.0,0.065594,mcap=2023-03-31;bs=2023-03-31
